2024-07-05 09:28:01 客户端（192.168.19.128）已连接。
2024-07-05 09:28:01 192.168.19.128 login ok.
2024-07-05 12:39:30 recv /myproject/myserver/surfdata/SURF_ZH_20240705123900_18304.xml(125587) ...ok.
2024-07-05 12:40:31 recv /myproject/myserver/surfdata/SURF_ZH_20240705124000_18371.xml(125595) ...ok.
2024-07-05 12:41:31 recv /myproject/myserver/surfdata/SURF_ZH_20240705124100_18433.xml(125558) ...ok.
2024-07-05 12:42:31 recv /myproject/myserver/surfdata/SURF_ZH_20240705124200_18494.xml(125587) ...ok.
2024-07-05 12:43:31 recv /myproject/myserver/surfdata/SURF_ZH_20240705124300_18644.xml(125574) ...ok.
2024-07-05 12:44:31 recv /myproject/myserver/surfdata/SURF_ZH_20240705124400_18706.xml(125572) ...ok.
2024-07-05 12:45:31 recv /myproject/myserver/surfdata/SURF_ZH_20240705124500_18767.xml(125618) ...ok.
2024-07-05 12:46:31 recv /myproject/myserver/surfdata/SURF_ZH_20240705124600_18829.xml(125548) ...ok.
2024-07-05 12:47:32 recv /myproject/myserver/surfdata/SURF_ZH_20240705124700_18914.xml(125547) ...ok.
2024-07-05 12:48:32 recv /myproject/myserver/surfdata/SURF_ZH_20240705124800_18979.xml(125583) ...ok.
2024-07-05 12:49:32 recv /myproject/myserver/surfdata/SURF_ZH_20240705124900_19043.xml(125618) ...ok.
2024-07-05 12:50:32 recv /myproject/myserver/surfdata/SURF_ZH_20240705125000_19109.xml(125535) ...ok.
2024-07-05 12:51:32 recv /myproject/myserver/surfdata/SURF_ZH_20240705125100_19170.xml(125594) ...ok.
2024-07-05 12:52:32 recv /myproject/myserver/surfdata/SURF_ZH_20240705125200_19232.xml(125512) ...ok.
2024-07-05 12:53:32 recv /myproject/myserver/surfdata/SURF_ZH_20240705125300_19297.xml(125583) ...ok.
2024-07-05 12:54:33 recv /myproject/myserver/surfdata/SURF_ZH_20240705125400_19359.xml(125609) ...ok.
